site_name,index,mean,max,min,stdev,IQR,MK trend_value,MK_trend,MK_slope,MK_p_value,MK_intercept,cp_t,cp_pr_t,cp_s,cp_pr_s,site_location_name,latitude,longitude,bioregion_name
SAABHC0001,FVC-PV,9.704,16,4,2.232,3.25,-0.145,decreasing,-0.01,0.003936647,10.552,"['2021-12-01', '2018-08-01', '2023-09-01']","[0.999, 0.997, 0.982]","['2014-10-01', '2010-12-01', '2012-05-01']","[0.97, 0.914, 0.913]",SAABHC0001,-31.92288056,140.4651694,BHC
SAABHC0002,FVC-PV,10.275,17.25,4.667,2.6,3.708,-0.113,decreasing,-0.009,0.024632506,10.947,"['2020-09-30', '2018-03-02', '2011-09-01']","[1.0, 0.95, 0.854]","['2013-01-01', '2013-08-01', '2010-11-01']","[0.794, 0.793, 0.526]",SAABHC0002,-31.98336944,140.5023778,BHC
SAABHC0003,FVC-PV,8.86,24.167,1.667,5.422,8.333,-0.139,decreasing,-0.023,0.005734954,9.523,"['2011-03-02', '2017-03-02', '2020-06-01']","[0.966, 0.965, 0.964]","['2012-11-30', '2016-09-30', '2021-09-01']","[0.999, 0.928, 0.542]",SAABHC0003,-31.94265556,140.5466028,BHC
SAABHC0004,FVC-PV,33.635,49.25,18.417,7.747,12.917,0.049,no trend,0.014,0.331124341,32.597,"['2020-09-30', '2012-09-30', '2019-09-01']","[1.0, 0.975, 0.593]","['2017-01-31', '2016-07-01', '2013-03-02']","[0.999, 0.998, 0.878]",SAABHC0004,-32.01899722,140.5268556,BHC
SAABHC0005,FVC-PV,9.831,30.333,0.667,7.59,10.458,-0.12,decreasing,-0.028,0.017538342,10.097,"['2022-01-01', '2012-05-01', '2023-01-31']","[0.989, 0.889, 0.526]","['2016-10-31', '2022-03-02', '2016-04-01']","[0.952, 0.725, 0.489]",SAABHC0005,-31.97321235,140.5836429,BHC
SAABHC0006,FVC-PV,8.719,30.417,1.667,7.252,9.5,-0.168,decreasing,-0.026,0.000822895,8.06,"['2022-04-02', '2012-11-30', '2023-10-01']","[0.999, 0.998, 0.458]","['2011-01-31', '2012-07-01', '2016-09-30']","[0.995, 0.728, 0.548]",SAABHC0006,-31.90469653,140.6801647,BHC
SAACHC0001,FVC-PV,10.925,74.25,1.5,13.373,14.583,-0.254,decreasing,-0.033,4.16E-07,7.133,"['2012-01-01', '2016-11-30', '2016-05-01']","[0.813, 0.508, 0.499]","['2011-01-01', '2012-07-31', '2024-05-01']","[0.939, 0.527, 0.497]",,-27.40857955,140.190095,CHC
SAACHC0002,FVC-PV,9.295,71.083,1.5,12.754,9.417,-0.295,decreasing,-0.029,3.32E-09,6.383,"['2012-08-31', '2011-10-01', '2024-01-01']","[0.999, 0.957, 0.291]","['2010-11-01', '2012-03-01', '2024-05-01']","[1.0, 0.92, 0.46]",,-27.40973427,140.1874235,CHC
SAACHC0003,FVC-PV,8.541,75.417,1,11.664,8.292,-0.052,no trend,0,0.303234294,3.333,"['2011-07-02', '2012-09-30', '2024-01-01']","[0.96, 0.611, 0.522]","['2011-03-02', '2021-12-01', '2022-07-02']","[1.0, 0.625, 0.548]",SAACHC0003,-27.493709,140.120751,CHC
SAACHC0004,FVC-PV,9.709,76.667,0.917,12.971,12.083,-0.074,no trend,-0.002,0.139627434,2.745,"['2024-01-01', '2010-11-01', '2012-04-01']","[1.0, 0.999, 0.971]","['2020-01-01', '2020-07-31', '2012-07-01']","[0.993, 0.989, 0.96]",SAACHC0004,-27.491906,140.119866,CHC
